timestamp,buildingId,email,subject,body,status,messageId
"2026-07-08T17:41:48.571Z","test1","family@test.com","test subject","test body","SENT","bfc2e0a6-cb3b-4cb1-9d80-e50e866b71d1"
"2026-07-08T17:42:21.476Z","71b7a318-2854-43ba-8d12-11f33e2037be","family1@example.com","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","7a3dfe64-4252-4a87-9749-48bf9cf1f2e0"
"2026-07-08T17:47:58.105Z","8b675405-9d29-4b4c-80a6-6f67eb6ab2ea","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","74bf50a7-4f3a-430c-8e30-0897277db7f5"
"2026-07-08T18:23:34.486Z","b42d1deb-0384-4a51-a12f-06887548654e","family2@example.com","ירושלים, רחוב 12","אישור חזרה לבית ירושלים, רחוב 12","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","FAILED","111d8709-3924-44d7-a186-1828f950bc97"
"2026-07-08T18:24:00.727Z","dac53ec2-1af0-4cd5-90b7-6d30e1b6affe","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","81d557df-ca72-4d49-b0cb-21aebafe4aa4"
"2026-07-08T18:32:08.334Z","dac53ec2-1af0-4cd5-90b7-6d30e1b6affe","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","FAILED","8eec1b9c-ffd9-4673-a953-2359f6aac966"
"2026-07-08T18:32:40.997Z","1c12a908-c75c-437f-ae2f-fee448a82ff3","family6@example.com","ירושלים, רחוב 16","אישור חזרה לבית ירושלים, רחוב 16","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","FAILED","b375ed48-5833-4c67-9cb3-8781787be41d"
"2026-07-08T18:36:59.381Z","ABC","test@example.com","Test Address","Hi","Body","FAILED","95f9f7e3-ce7e-480e-8cc9-5c020baf8332"
"2026-07-08T18:38:49.802Z","ABC","test@example.com","","Hi","Body","FAILED","2ab85d70-13d5-4b27-aea7-f5e5c24dd83c"
"2026-07-08T18:38:49.803Z","ABC","test@example.com","","Hi","Body","SENT","146624c9-9f0a-4b7a-9a1a-b7398ae00779"
"2026-07-08T18:39:10.303Z","ABC","test@example.com","","Hi","Body","FAILED","045efeb4-b1a8-48f9-9e85-5fafff230803"
"2026-07-08T18:39:10.306Z","ABC","test@example.com","","Hi","Body","SENT","e70f93cb-4122-4dab-8122-7052c32e8260"
"2026-07-08T18:40:20.285Z","d77dcf21-5e0d-42a3-bf93-a04b2c8a0a7f","family8@example.com","ירושלים, רחוב 18","אישור חזרה לבית ירושלים, רחוב 18","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","aff8f238-a11c-4edf-b973-290dd8cdd53b"
"2026-07-08T18:40:43.164Z","216256c2-90b0-4d8b-8e78-6d3a8996c223","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","b83e9976-3900-49ec-90ef-9915d296befa"
"2026-07-08T18:41:10.640Z","906c9a85-95d8-4575-bd8b-6396d394e06b","family10@example.com","ירושלים, רחוב 20","אישור חזרה לבית ירושלים, רחוב 20","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","bcfe2760-d81a-4f60-b8df-f6c5acb62bdd"
"2026-07-08T18:47:37.930Z","d62b7011-7b46-4e95-bad5-0a8973c03ee1","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","FAILED","37415118-3d00-4529-8004-2f7f263f7b93"
"2026-07-08T18:47:37.940Z","d62b7011-7b46-4e95-bad5-0a8973c03ee1","family1@example.com","ירושלים, רחוב 11","אישור חזרה לבית ירושלים, רחוב 11","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","bccfb6ec-d10f-4834-a6a4-a637e95f3c6e"
"2026-07-08T18:58:17.502Z","0c5e6f3f-7e7a-4f29-8c43-e90e59c84f7e","family4@example.com","ירושלים, רחוב 14","אישור חזרה לבית ירושלים, רחוב 14","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","83e84fb5-be26-47a8-9dc9-cddcbbb75648"
"2026-07-08T18:58:17.510Z","0c5e6f3f-7e7a-4f29-8c43-e90e59c84f7e","family4@example.com","ירושלים, רחוב 14","אישור חזרה לבית ירושלים, רחוב 14","שלום,

אנו שמחים לעדכן כי המבנה שלכם אושר לחזרה לבית.
תיק האכלוס הוכן בהצלחה.

בברכה,
משרד הבינוי והשיכון","SENT","49be768b-b4b7-4f2c-ab82-bf231adb349a"
